     Lattice Point       Full KS potential   Exchange Correlation  Hartree Potential  Potential-External potential
                                               Potential
       -2.4000000000       -0.5279278320       -0.1894534332        0.2258383722        0.0363849390
       -2.0000000000       -0.5627831540       -0.1816399625        0.2209367573        0.0392967948
       -1.6000000000       -0.5984538124       -0.1747008243        0.2170989744        0.0423981501
       -1.2000000000       -0.6345260384       -0.1684705567        0.2142140860        0.0457435293
       -0.8000000000       -0.6702182740       -0.1623693137        0.2122042877        0.0498349740
       -0.4000000000       -0.7029517217       -0.1539663960        0.2110180023        0.0570516063
        0.0000000000       -0.7359878640       -0.1466136106        0.2106257466        0.0640121360
        0.4000000000       -0.7829511007       -0.1539656964        0.2110179237        0.0570522273
        0.8000000000       -0.8302177378       -0.1623686184        0.2122041286        0.0498355102
        1.2000000000       -0.8745258632       -0.1684701378        0.2142138423        0.0457437045
        1.6000000000       -0.9184535713       -0.1747002486        0.2170986398        0.0423983912
        2.0000000000       -0.9627829837       -0.1816393574        0.2209363225        0.0392969651
        2.4000000000       -1.0079276551       -0.1894527082        0.2258378241        0.0363851159
        2.8000000000       -1.0543352830       -0.1983047194        0.2319584834        0.0336537641
        3.2000000000       -1.1025325902       -0.2084233724        0.2395166407        0.0310932683
        3.6000000000       -1.1531277150       -0.2201360138        0.2488250261        0.0286890122
        4.0000000000       -1.2067994687       -0.2339169273        0.2603450298        0.0264281025
        4.4000000000       -1.2642913679       -0.2504841787        0.2747820720        0.0242978933
        4.8000000000       -1.3263972369       -0.2709662590        0.2932538047        0.0222875458
        5.2000000000       -1.3939411307       -0.2971953749        0.3175824767        0.0203871018
        5.6000000000       -1.4677440917       -0.3321966860        0.3507845148        0.0185878288
        6.0000000000       -1.5485748879       -0.3809527906        0.3978345939        0.0168818033
        6.4000000000       -1.6370772342       -0.4514544305        0.4667163968        0.0152619663
        6.8000000000       -1.7336663539       -0.5558091882        0.5695311081        0.0137219200
        7.2000000000       -1.8383846897       -0.7106177254        0.7228736325        0.0122559071
        7.6000000000       -1.9507051440       -0.9348962206        0.9457549200        0.0108586994
        8.0000000000       -2.0692673506       -1.2429566135        1.2524821718        0.0095255582
        8.4000000000       -2.1915299870       -1.6303046642        1.6385568308        0.0082521667
        8.8000000000       -2.3133188896       -2.0551792998        2.0622138902        0.0070345904
        9.2000000000       -2.4282473901       -2.4276632912        2.4335325220        0.0058692308
        9.6000000000       -2.5269814144       -2.6262345039        2.6309872996        0.0047527956
       10.0000000000       -2.5963177382       -2.5529041655        2.5565864274        0.0036822618
       10.4000000000       -2.6180391337       -2.2030349654        2.2056898172        0.0026548518
       10.8000000000       -2.5675051422       -1.6898108355        1.6914788426        0.0016680071
       11.2000000000       -2.4119316947       -1.1828074992        1.1835268683        0.0007193691
       11.6000000000       -2.1083068717       -0.8037633540        0.8035701109       -0.0001932431
       12.0000000000       -1.6008836335       -0.5745230986        0.5734512540       -0.0010718447
       12.4000000000       -0.8181834421       -0.4506075816        0.4486892743       -0.0019183073
       12.8000000000        0.3305628161       -0.3811881106        0.3784537510       -0.0027343595
       13.2000000000        1.9596181146       -0.3364575977        0.3329359701       -0.0035216277
       13.6000000000        4.2116770684       -0.3038609702        0.2995794074       -0.0042815628
       14.0000000000        7.2636369627       -0.2784506102        0.2734348242       -0.0050157861
  
  
